location,average_stringency_containment_index
Austria,66.27144662921347
Belgium,60.30151685393267
Bulgaria,48.815224719101046
Croatia,46.91469101123597
Cyprus,66.54985955056169
Czechia,62.77348314606746
Denmark,56.41282303370785
Estonia,43.204016853932615
Finland,45.986502808988774
France,61.44700842696631
Germany,67.39702247190993
Greece,72.94508426966274
Hungary,59.54554775280883
Ireland,70.39490168539325
Italy,73.6286235955057
Latvia,50.93481741573028
Lithuania,55.77080056179777
Luxembourg,53.49772471910103
Malta,57.47648876404487
Netherlands,62.82581460674173
Poland,58.57161516853928
Portugal,67.57865168539334
Romania,59.20044943820238
Slovakia,62.062640449438206
Slovenia,63.127710674157356
Spain,63.71206460674145
Sweden,59.733300561797726
