location,average_stringency_index,average_containment_index
Finland,45.42862359550555,46.54438202247201
Denmark,56.16033707865166,56.66530898876404
Belgium,58.44404494382022,62.15898876404511
Netherlands,64.75005617977541,60.901573033708054
Ireland,70.5427808988763,70.24702247191019
