location,average_stringency_index,average_containment_index
Denmark,18.667518518518623,34.00677777777785
Ireland,22.196018518518784,36.90859259259262
Portugal,25.899907407407394,41.027222222222136
Belgium,25.45375925925908,46.724703703704044
Netherlands,28.12975925925934,44.94329629629681
