location,date,new_deaths
Austria,2021-07-10,2.0
Austria,2021-07-11,2.0
Austria,2021-07-12,2.0
Austria,2021-07-13,0.0
Austria,2021-07-14,1.0
Austria,2021-07-15,3.0
Austria,2021-07-16,4.0
Austria,2021-07-17,0.0
Austria,2021-07-18,3.0
Austria,2021-07-19,1.0
Austria,2021-07-20,1.0
Austria,2021-07-21,3.0
Austria,2021-07-22,1.0
Austria,2021-07-23,1.0
Austria,2021-07-24,1.0
Austria,2021-07-25,5.0
Austria,2021-07-26,1.0
Austria,2021-07-27,3.0
Austria,2021-07-28,2.0
Austria,2021-07-29,1.0
Austria,2021-07-30,0.0
Austria,2021-07-31,2.0
Austria,2021-08-01,3.0
Austria,2021-08-02,4.0
Austria,2021-08-03,3.0
Austria,2021-08-04,2.0
Austria,2021-08-05,3.0
Austria,2021-08-06,3.0
Austria,2021-08-07,5.0
Austria,2021-08-08,3.0
Austria,2021-08-09,1.0
Austria,2021-08-10,2.0
Austria,2021-08-11,2.0
Austria,2021-08-12,3.0
Austria,2021-08-13,0.0
Austria,2021-08-14,2.0
Austria,2021-08-15,3.0
Austria,2021-08-16,5.0
Austria,2021-08-17,1.0
Austria,2021-08-18,0.0
Austria,2021-08-19,0.0
Austria,2021-08-20,2.0
Austria,2021-08-21,3.0
Austria,2021-08-22,2.0
Austria,2021-08-23,3.0
Austria,2021-08-24,2.0
Austria,2021-08-25,6.0
Austria,2021-08-26,2.0
Austria,2021-08-27,6.0
Austria,2021-08-28,3.0
Austria,2021-08-29,6.0
Austria,2021-08-30,9.0
Austria,2021-08-31,3.0
Austria,2021-09-01,3.0
Austria,2021-09-02,4.0
Austria,2021-09-03,4.0
Austria,2021-09-04,8.0
Austria,2021-09-05,6.0
Austria,2021-09-06,9.0
Austria,2021-09-07,9.0
Austria,2021-09-08,4.0
Austria,2021-09-09,8.0
Austria,2021-09-10,8.0
Austria,2021-09-11,10.0
Austria,2021-09-12,11.0
Austria,2021-09-13,7.0
Austria,2021-09-14,3.0
Austria,2021-09-15,9.0
Austria,2021-09-16,15.0
Austria,2021-09-17,12.0
Austria,2021-09-18,11.0
Austria,2021-09-19,11.0
Austria,2021-09-20,7.0
