location,date,new_deaths_per_million
Austria,2020-03-14,0.112
Austria,2020-03-15,0.0
Austria,2020-03-16,0.112
Austria,2020-03-17,0.112
Austria,2020-03-18,0.224
Austria,2020-03-19,0.224
Austria,2020-03-20,0.559
Austria,2020-03-21,0.336
Austria,2020-03-22,0.559
Austria,2020-03-23,0.671
Austria,2020-03-24,0.895
Austria,2020-03-25,1.342
Austria,2020-03-26,1.119
Austria,2020-03-27,1.007
Austria,2020-03-28,1.79
Austria,2020-03-29,2.237
Austria,2020-03-30,2.125
Austria,2020-03-31,1.566
Austria,2020-04-01,2.349
Austria,2020-04-02,2.125
Austria,2020-04-03,1.23
Austria,2020-04-04,2.237
Austria,2020-04-05,2.014
Austria,2020-04-06,2.237
Austria,2020-04-07,2.461
Austria,2020-04-08,3.468
Austria,2020-04-09,3.244
Austria,2020-04-10,1.902
Austria,2020-04-11,2.461
Austria,2020-04-12,2.573
Austria,2020-04-13,1.902
Austria,2020-04-14,1.342
Austria,2020-04-15,2.349
Austria,2020-04-16,1.454
Austria,2020-04-17,1.79
Austria,2020-04-18,2.573
Austria,2020-04-19,1.454
Austria,2020-04-20,2.014
Austria,2020-04-21,1.902
Austria,2020-04-22,1.007
Austria,2020-04-23,2.014
Austria,2020-04-24,1.342
Austria,2020-04-25,0.895
Austria,2020-04-26,0.895
Austria,2020-04-27,1.566
Austria,2020-04-28,1.007
Austria,2020-04-29,0.671
Austria,2020-04-30,1.566
Austria,2020-05-01,0.783
Austria,2020-05-02,0.783
Austria,2020-05-03,0.447
Austria,2020-05-04,0.447
Austria,2020-05-05,1.007
Austria,2020-05-06,0.447
Austria,2020-05-07,0.336
Austria,2020-05-08,0.783
Austria,2020-05-09,0.336
Austria,2020-05-10,0.559
Austria,2020-05-11,0.783
Austria,2020-05-12,0.336
Austria,2020-05-13,0.336
Austria,2020-05-14,0.112
Austria,2020-05-15,0.336
Austria,2020-05-16,0.447
Austria,2020-05-17,0.0
Austria,2020-05-18,0.112
Austria,2020-05-19,0.224
Austria,2020-05-20,0.447
Austria,2020-05-21,0.112
Austria,2020-05-22,0.447
Austria,2020-05-23,0.336
Austria,2020-05-24,0.447
Austria,2020-05-25,0.112
Austria,2020-05-26,0.112
Austria,2020-05-27,0.224
Austria,2020-05-28,0.447
Austria,2020-05-29,0.112
Austria,2020-05-30,0.224
Austria,2020-05-31,0.224
Austria,2020-06-01,0.0
Austria,2020-06-02,0.447
Austria,2020-06-03,0.112
Austria,2020-06-04,0.336
Austria,2020-06-05,0.336
Austria,2020-06-06,0.447
Austria,2020-06-07,0.224
Austria,2020-06-08,0.112
Austria,2020-06-09,0.112
Austria,2020-06-10,0.336
Austria,2020-06-11,0.224
Austria,2020-06-12,0.224
Austria,2020-06-13,0.112
Austria,2020-06-14,0.224
Austria,2020-06-15,0.112
Austria,2020-06-16,0.559
Austria,2020-06-17,0.671
Austria,2020-06-18,0.336
Austria,2020-06-19,0.112
Austria,2020-06-20,0.0
Austria,2020-06-21,0.224
Austria,2020-06-22,0.336
Austria,2020-06-23,0.224
Austria,2020-06-24,0.336
Austria,2020-06-25,0.224
Austria,2020-06-26,0.447
Austria,2020-06-27,0.224
Austria,2020-06-28,0.112
Austria,2020-06-29,0.336
Austria,2020-06-30,0.224
Austria,2020-07-01,0.112
Austria,2020-07-02,0.0
Austria,2020-07-03,0.112
Austria,2020-07-04,0.336
Austria,2020-07-05,0.112
Austria,2020-07-06,0.336
Austria,2020-07-07,0.0
Austria,2020-07-08,0.112
Austria,2020-07-09,0.0
Austria,2020-07-10,0.0
Austria,2020-07-11,0.112
Austria,2020-07-12,0.0
Austria,2020-07-13,0.336
Austria,2020-07-14,0.224
Austria,2020-07-15,0.224
Austria,2020-07-16,0.112
Austria,2020-07-17,0.112
Austria,2020-07-18,0.112
Austria,2020-07-19,0.0
Austria,2020-07-20,0.0
Belgium,2020-03-11,0.257
Belgium,2020-03-12,0.0
Belgium,2020-03-13,0.0
Belgium,2020-03-14,0.086
Belgium,2020-03-15,0.0
Belgium,2020-03-16,0.086
Belgium,2020-03-17,0.429
Belgium,2020-03-18,0.343
Belgium,2020-03-19,0.601
Belgium,2020-03-20,1.373
Belgium,2020-03-21,2.574
Belgium,2020-03-22,0.686
Belgium,2020-03-23,1.115
Belgium,2020-03-24,2.917
