location,date,new_deaths
Austria,2020-03-14,1.0
Austria,2020-03-15,0.0
Austria,2020-03-16,1.0
Austria,2020-03-17,1.0
Austria,2020-03-18,2.0
Austria,2020-03-19,2.0
Austria,2020-03-20,5.0
Austria,2020-03-21,3.0
Austria,2020-03-22,5.0
Austria,2020-03-23,6.0
Austria,2020-03-24,8.0
Austria,2020-03-25,12.0
Austria,2020-03-26,10.0
Austria,2020-03-27,9.0
Austria,2020-03-28,16.0
Austria,2020-03-29,20.0
Austria,2020-03-30,19.0
Austria,2020-03-31,14.0
Austria,2020-04-01,21.0
Austria,2020-04-02,19.0
Austria,2020-04-03,11.0
Austria,2020-04-04,20.0
Austria,2020-04-05,18.0
Austria,2020-04-06,20.0
Austria,2020-04-07,22.0
Austria,2020-04-08,31.0
Austria,2020-04-09,29.0
Austria,2020-04-10,17.0
Austria,2020-04-11,22.0
Austria,2020-04-12,23.0
Austria,2020-04-13,17.0
Austria,2020-04-14,12.0
Austria,2020-04-15,21.0
Austria,2020-04-16,13.0
Austria,2020-04-17,16.0
Austria,2020-04-18,23.0
Austria,2020-04-19,13.0
Austria,2020-04-20,18.0
Austria,2020-04-21,17.0
Austria,2020-04-22,9.0
Austria,2020-04-23,18.0
Austria,2020-04-24,12.0
Austria,2020-04-25,8.0
Austria,2020-04-26,8.0
Austria,2020-04-27,14.0
Austria,2020-04-28,9.0
Austria,2020-04-29,6.0
Austria,2020-04-30,14.0
Austria,2020-05-01,7.0
Austria,2020-05-02,7.0
Austria,2020-05-03,4.0
Austria,2020-05-04,4.0
Austria,2020-05-05,9.0
Austria,2020-05-06,4.0
Austria,2020-05-07,3.0
Austria,2020-05-08,7.0
Austria,2020-05-09,3.0
Austria,2020-05-10,5.0
Austria,2020-05-11,7.0
Austria,2020-05-12,3.0
Austria,2020-05-13,3.0
Austria,2020-05-14,1.0
Austria,2020-05-15,3.0
Austria,2020-05-16,4.0
Austria,2020-05-17,0.0
Austria,2020-05-18,1.0
Austria,2020-05-19,2.0
Austria,2020-05-20,4.0
Austria,2020-05-21,1.0
Austria,2020-05-22,4.0
Austria,2020-05-23,3.0
Austria,2020-05-24,4.0
Austria,2020-05-25,1.0
Austria,2020-05-26,1.0
Austria,2020-05-27,2.0
Austria,2020-05-28,4.0
Austria,2020-05-29,1.0
Austria,2020-05-30,2.0
Austria,2020-05-31,2.0
Austria,2020-06-01,0.0
Austria,2020-06-02,4.0
Austria,2020-06-03,1.0
Austria,2020-06-04,3.0
Austria,2020-06-05,3.0
Austria,2020-06-06,4.0
Austria,2020-06-07,2.0
Austria,2020-06-08,1.0
Austria,2020-06-09,1.0
Austria,2020-06-10,3.0
Austria,2020-06-11,2.0
Austria,2020-06-12,2.0
Austria,2020-06-13,1.0
Austria,2020-06-14,2.0
