location,average_stringency_index,average_containment_index
Finland,48.71528662420375, 42.34063694267512
Czechia,51.05908450704232, 52.37394366197181
Greece,62.378698630137094, 53.98657534246579
Slovakia,60.118905109489134, 58.98014598540153
Croatia,63.84571428571427, 59.18482993197279
