location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2021-07-10,65.75,42.29
Denmark,2021-07-10,60.77,38.25
Finland,2021-07-04,61.02,20.98
Ireland,2021-07-10,56.66,45.54
Netherlands,2021-07-09,62.86,37.88
