location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2023-02-06,79.49,78.65
Denmark,2023-02-15,81.39,80.79
Ireland,2023-02-15,81.78,80.83
Netherlands,2022-09-02,72.74,68.08
Portugal,2023-02-10,95.21,86.59
