location,date,gdp_per_capita,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,location,average_stringency_index,average_containment_index
Slovenia,2022-07-05,31400.84,59.71,57.66,26.43335185185212,37.86990740740712
Croatia,2023-02-15,22669.797,57.59,55.85,22.321500000000068,36.850648148148345
Austria,2022-12-13,45436.686,77.14,76.32,42.28642592592546,58.77894444444379
Romania,2023-02-05,23313.199,41.64,41.28,30.79153703703734,42.50688888888881
Germany,2023-02-15,45229.245,77.81,76.24,31.545129629629596,50.88462962962986
Hungary,2022-12-27,26777.561,64.42,62.28,16.32066666666654,30.60959259259253
Denmark,2023-02-15,46682.515,81.39,80.79,18.667518518518623,34.00677777777785
Slovakia,2022-07-31,30155.152,46.0,45.68,25.475277777777997,39.66303703703699
Spain,2023-02-08,34272.36,86.93,85.64,30.97983333333338,43.23014814814823
Sweden,2023-02-12,46949.283,74.11,72.38,18.476500000000108,26.11664814814787
Netherlands,2022-09-02,48472.545,72.74,68.08,28.12975925925934,44.94329629629681
Cyprus,2022-12-21,32415.132,74.88,72.1,32.332074074074335,48.66742592592583
Estonia,2023-02-13,29481.252,65.54,64.0,24.150222222222357,37.64777777777745
France,2023-02-15,38605.671,80.6,78.4,27.07170370370376,42.728092592592354
Belgium,2023-02-06,42658.576,79.49,78.65,25.45375925925908,46.724703703704044
Bulgaria,2023-02-05,18563.307,31.06,30.61,26.74509259259285,37.96872222222234
Poland,2023-02-15,27216.445,57.38,56.8,24.616574074074027,33.242518518518516
Italy,2023-02-16,35220.084,86.18,81.26,36.28703703703683,55.77035185185171
Malta,2023-02-14,36513.323,89.76,88.4,29.219555555555736,44.00116666666676
Portugal,2023-02-10,27936.896,95.21,86.59,25.899907407407394,41.027222222222136
Latvia,2022-07-11,25063.846,72.74,70.57,25.043592592592685,35.276425925925814
Finland,2023-02-15,40585.721,81.66,78.47,27.729518518518645,45.067925925926225
Czechia,2023-02-16,32605.906,66.47,65.68,25.9902037037037,39.732185185185024
Greece,2023-02-15,24574.382,76.4,73.61,44.07959259259304,53.452629629629165
Luxembourg,2023-02-10,94277.965,74.42,71.44,29.902092592592886,44.8901851851852
Lithuania,2023-02-15,29524.265,71.16,68.37,20.21796296296324,35.053407407407576
Ireland,2023-02-15,67335.293,81.78,80.83,22.196018518518784,36.90859259259262
