location,date,gdp_per_capita,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,average_stringency_index,average_containment_index
Ireland,2023-02-15,67335.293,81.78,80.83,22.196018518518784,36.90859259259262
Belgium,2023-02-06,42658.576,79.49,78.65,25.45375925925908,46.724703703704044
Denmark,2023-02-15,46682.515,81.39,80.79,18.667518518518623,34.00677777777785
Netherlands,2022-09-02,48472.545,72.74,68.08,28.12975925925934,44.94329629629681
Portugal,2023-02-10,27936.896,95.21,86.59,25.899907407407394,41.027222222222136
