location,date,gdp_per_capita,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,average_stringency_index,average_containment_index
Czechia,2020-07-20,32605.906,0,0,51.05908450704232, 52.37394366197181
Finland,2020-07-20,40585.721,0,0,48.71528662420375, 42.34063694267512
Croatia,2020-07-20,22669.797,0,0,63.84571428571427, 59.18482993197279
Greece,2020-07-20,24574.382,0,0,62.378698630137094, 53.98657534246579
Slovakia,2020-07-20,30155.152,0,0,60.118905109489134, 58.98014598540153
